All,Kaikki
"New Shared Catalog","Uusi jaettu katalogi"
"The shared catalog was deleted successfully.","Jaettu katalogi poistettiin onnistuneesti."
"Requested product doesn't exist: %1.","Pyydettyä tuotetta ei ole olemassa: %1."
Store:,Kauppa:
Website:,Sivusto:
of,/
Assigned,Osoitettu
"Adjust Fixed Price","Muuta kiinteää hintaa"
"New Price","Uusi hinta"
"New Shipment for Order #%1","Uusi lähetys tilaukselle #%1"
"Submit Shipment","Hyväksy lähetys"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","Yrität lisätä joidenkin tuotteiden määrää, joka ei vastaa toimitettua määrää."
"The value that you entered is not valid.","Syöttämäsi arvo ei kelpaa."
"Add Tracking Number","Lisää seurantanumero"
"Send Tracking Information","Lähetä seurantatiedot"
"Are you sure you want to send a Shipment email to customer?","Haluatko varmasti lähettää sähköpostin toimituksesta asiakkaalle?"
"the shipment email was sent","toimituksen sähköposti lähetettiin"
"the shipment email is not sent","toimituksen sähköpostia ei ole lähetetty"
"Shipment #%1 | %3 (%2)","Toimitus #%1 | %3 (%2)"
"Create Shipping Label...","Luo osoitetarra..."
"Delivered on:",Toimitettu:
"About Your Shipment","Tietoja lähetyksestäsi"
"Cannot add tracking number.","Seurantakoodia ei voida lisätä."
"You created the shipping label.","Osoitekortti luotiin."
"New Shipment","Uusi lähetys"
"The shipment has been created.","Lähetys on luotu."
"Cannot save shipment.","Lähetystä ei voi tallentaa."
"This shipment no longer exists.","Tätä lähetystä ei ole enää olemassa."
Live,Käytössä
"Signature Confirmation","Vaadi allekirjoitus"
Contents,Sisällöt
Girth,Ympärysmitta
"Qty to Ship","Lähetettävä määrä"
"Add Selected Product(s) to Package","Lisää valitut tuotteet pakettiin"
"Add Products to Package","Lisää tuotteita pakettiin"
in,tuumaa
"Delete Package","Poista paketti"
Explanation,Selitys
"Shipping &amp; Handling Information","Toimitus- &amp; käsittelytiedot"
"Track Order","Seuraa tilausta"
"Items Shipped","Lähetetyt tuotteet"
"Shipment History",Lähetyshistoria
"Print All Shipments","Tulosta kaikki lähetykset"
"Shipment #","Lähetysnumero #"
"Print Shipment","Tulosta lähetys"
"Tracking Number(s):",Seurantakoodi(t):
"Order tracking","Tilauksen seuranta"
"Tracking Number:",Seurantanumero:
Carrier:,Toimittaja:
"Tracking information is currently not available. Please ","Seurantatietoja ei ole nyt saatavilla. Ole hyvä "
"contact us","ota meihin yhteyttä"
" for more information or "," lisätietoja tai "
"email us at ","lähetä meille sähköpostia "
Info:,Tietoja:
Track:,Seuraa:
"There is no tracking available for this shipment.","Tälle toimitukselle ei ole saatavilla lähetyksen seurantaa."
"There is no tracking available.","Seurantaa ei ole saatavilla."
"Local Time","Paikallinen aika"
"Shipping Settings",Toimitusasetukset
Origin,Lähtöpaikka
"Shipping Policy",Toimitusehdot
"Track your order","Seuraa tilaustasi"
"API Key","API avain"
"API URL",API-osoite
"Save & Generate","Tallenna & luo"
"Edit Sitemap","Muokkaa sivukarttaa"
"New Sitemap","Uusi sivukartta"
"Sitemap Information","Sivukartan tiedot"
Sitemap,Sivukartta
Filename,Tiedostonimi
"example: sitemap.xml","esimerkki: sitemap.xml"
"Add Sitemap","Lisää sivukartta"
"You deleted the sitemap.","Sivukartta poistettiin."
"This sitemap no longer exists.","Tätä sivukarttaa ei ole enää olemassa."
"Site Map",Sivukartta
"New Site Map","Uusi sivukartta"
"The sitemap ""%1"" has been generated.","Sivukartta ""%1"" on luotu."
"You saved the sitemap.","Sivukartta on tallennettu."
"The priority must be between 0 and 1.","Prioriteetin on oltava välillä 0 ja 1."
Yearly,Vuosittain
"Please define a correct path.","Määritä oikea polku."
"Add Images into Sitemap","Lisää kuvia sivukarttaan"
"Generation Settings","Luomisen asetukset"
"Maximum File Size","Tiedoston enimmäiskoko"
"File size in bytes.","Tiedostokoko tavuina."
"Link for Google","Linkki Googlea varten"
"Last Generated","Viimeksi luotu"
"We were unable to perform the search because of a search engine misconfiguration.","Hakua ei voitu suorittaa hakukoneen virheellisen konfiguraation vuoksi."
"Indexation Mode",Indeksointitila
"Please fill in Hostname, Port, Path","Syötä isäntänimi, portti ja polku"
"Schedule New Update","Ajoita uusi päivitys"
"Date & Time","Päivämäärä & aika"
"This update not exists.","Tätä päivitystä ei ole olemassa."
"Edit Existing Update","Muokkaa olemassa olevaa päivitystä"
"Something went wrong while removing the %1.","Tapahtui virhe poistettaessa %1."
"Can not be rescheduled","Ei voida ajoittaa uudelleen"
"Delete Update","Poista päivitys"
Test,Testi
"This action is unavailable","Tämä toiminto ei ole käytettävissä"
Calendar,Kalenteri
"Share Preview Link","Jaa esikatselu-linkki"
"End Time",Lopetusaika
"Current store is not active.","Nykyinen kauppa ei ole aktiivinen."
"Requested store is inactive","Pyydetty kauppa on inaktiivinen"
"Store with the same code","Kauppa samalla koodilla"
"Website with the same code","Sivusto samalla koodilla"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Sivustokoodi voi sisältää vain kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_) ja ensimmäisen merkin on oltava kirjain."
"Store is inactive","Kauppa on inaktiivinen"
"Invalid store parameter.","Virheellinen kaupan parametri."
"Default store is inactive","Oletuskauppa on inaktiivinen"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Kauppakoodi voi sisältää vain kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_) ja ensimmäisen merkin on oltava kirjain."
"Name is required","Nimi on pakollinen"
Language,Kieli
"Select Store","Valitse kauppa"
"Various XML configurations that were collected across modules and merged","Useita XML-määrityksiä, joita on kerätty ja yhdistelty eri moduulien välillä"
Layouts,Asettelut
"Backup Log Details","Varmuuskopion lokin tiedot"
"Are you sure you want to delete the system report?","Oletko varma, että haluat poistaa järjestelmäraportin?"
"Go to Top","Takaisin ylös"
Support,Tuki
"The backup has been saved.","Varmuuskopio on tallennettu."
"The backup has been deleted.","Varmuuskopio on poistettu."
"Cannot delete backup","Varmuuskopiota ei voi poistaa"
"File does not exist","Tiedostoa ei ole olemassa"
"Log Details",Logitietoja
Incomplete,Epätäydellinen
"Processing ...","Käsitellään ..."
(now),(nyt)
"[%1 minutes ago]","[%1 minuutti(a) sitten]"
"[%1 hours ago]","[%1 tunti(a) sitten]"
"[%1 weeks ago]","[%1 viikko(a) sitten]"
"[%1 months ago]","[%1 kuukautta sitten]"
"Column %1","Sarake %1"
"Group Code",Ryhmäkoodi
Id,Tunnus
"URL key",URL-osoite
"Log Files",Lokitiedostot
"Store Views List","Kauppanäkymien lista"
"Stores List",Kauppaluettelo
"Error message!",Virheilmoitus!
"Show Log","Näytä loki"
"Delete ""%1""","Poista ""%1"""
"Are you sure you want to delete a ""%1"" record?","Haluatko varmasti poistaa ""%1""-tietueen?"
" (no data)"," (ei tietoja)"
Top,Ylös
"No data","Ei tietoja"
"System Report",Järjestelmäraportti
Logs,Lokit
"New Backup","Uusi varmuuskopio"
"New Report","Uusi raportti"
"Update Product Preview Image","Päivitä tuotteen esikatselukuva"
"Filtering by this attribute will update the product image on catalog page","Tällä attribuutilla suodattaminen päivittää tuotekuvan katalogisivulla"
"Choose a color","Valitse väri"
"Upload a file","Lähetä tiedosto"
"Related Products Rule","Liittyvien tuotteiden sääntö"
"equal to","yhtä suuri kuin"
more,lisää
less,vähemmän
"Show Related Products","Näytä liittyvät tuotteet"
"Tax Rate Information","Veroluokkien tiedot"
"Tax Identifier",Verotunnus
"Zip/Post is Range","Postinumero on alueella"
"Zip/Post Code",Postinumero
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*'-vastaa mitä tahansa; 'xyz*' - vastaa kaikkia jotka alkavat 'xyz' eivätkä ole pidempiä kuin %1."
State,Lääni
"Tax Titles",Veronimikkeet
"Add New Tax Rate","Lisää uusi verokanta"
"Add New Tax Rule","Lisää uusi verosääntö"
"Save Rule","Tallenna sääntö"
"Customer Tax Class","Asiakkaan veroluokka"
"Product Tax Class","Tuotteen veroluokka"
"Tax Rate",Veroprosentti
"Add New Tax Class","Lisää uusi veroluokka"
"Subtotal (Excl.Tax)","Välisumma (veroton)"
"Subtotal (Incl.Tax)","Välisumma (verollinen)"
"Shipping & Handling (Excl.Tax)","Toimitus- & käsittelykulut (veroton)"
"Shipping & Handling (Incl.Tax)","Toimitus- & käsittelykulut (sis.verot)"
"Grand Total (Excl.Tax)","Loppusumma (veroton)"
"Grand Total (Incl.Tax)","Loppusumma (verollinen)"
"Manage Tax Rates","Hallitse verokantoja"
"New Tax Rate","Uusi verokanta"
"You saved the tax rate.","Verokanta on tallennettu."
"New Tax Rule","Uusi verosääntö"
"No (price without tax)","Ei (hinta ilman veroja)"
"Yes (only price with tax)","Kyllä (vain verollinen hinta)"
"Both (without and with tax)","Molemmat (veroton ja verollinen hinta)"
"Grand Total (Excl. Tax)","Loppusumma (veroton)"
"Grand Total (Incl. Tax)","Loppusumma (verollinen)"
"Shipping (Excl. Tax)","Toimituskulut (veroton)"
"Shipping (Incl. Tax)","Toimituskulut (sis. verot)"
"Before Discount","Ennen alennusta"
"After Discount","Alennuksen jälkeen"
"customer group",asiakasryhmä
product,tuote
"Excl. tax:",Veroton:
Note:,Muistiinpano:
"An error occurred","Virhe tapahtui"
"Add New Class","Lisää uusi luokka"
Taxes,Verot
"Tax Section",Vero-osio
"Tax Classes",Veroluokat
"Tax Class for Shipping","Toimituksen veroluokat"
"Calculation Settings","Laskennan asetukset"
"Catalog Prices","Katalogin hinta"
"Shipping Prices",Toimitushinnat
"Default Post Code",Oletuspostinumero
"Display Prices","Näytä hinnat"
"Display Subtotal","Näytä välisumma"
"Include Tax In Order Total","Sisällytä vero kokonaissummaan"
"(Excl. Tax)",(Veroton)
"(Incl. Tax)",(Verollinen)
"Order Total Excl. Tax","Yhteensä veroton"
"Order Total Incl. Tax","Yhteensä verollinen"
"Invalid file format.","Tiedostomuoto ei kelpaa."
"Country code is invalid: %1","Maakoodi on virheellinen: %1"
"Import Tax Rates","Tuo verokannat"
"Import/Export Tax Rates","Tuo/vie veroluokkia"
"Save and Continue","Tallenna ja jatka"
"Save Configuration","Tallenna konfiguraatio"
Themes,Teemat
"Are you sure you want to delete this theme?","Oletko varma että haluat poistaa tämän teeman?"
"Theme: %1","Teema: %1"
"Theme CSS","Teeman CSS"
"Custom CSS","Oma CSS"
"Select CSS File to Upload","Valitse lähetettävä CSS-tiedosto"
"Upload CSS File","Lähetä CSS-tiedosto"
"Download CSS File","Lataa CSS-tiedosto"
"Upload Images","Lähetä Kuva"
"Edit custom.css","Muokkaa custom.css"
"Allowed file types *.css.","Sallitut tiedostotyypit *.css."
"CSS Editor",CSS-editori
"Theme Settings","Teeman asetukset"
"Theme Path","Teeman polku"
"Theme Preview Image","Teeman esikatselukuva"
"Copy of %1","%1:n kopio"
"Allowed file types *.js.","Sallitut tiedostotyypit *.js."
"Insert File","Lisää tiedosto"
welcome,tervetuloa
"You deleted the theme.","Poistit teeman."
"We cannot delete the theme.","Teemaa ei voida poistaa."
"File not found: ""%1"".","Tiedostoa ei löydy: ""%1""."
"We cannot find theme ""%1"".","Teemaa ""%1"" ei löydy."
"We cannot find the theme.","Teemaa ei löydy."
"This theme is not editable.","Tämä teema ei ole muokattavissa."
"You saved the theme.","Tallensit teeman."
"The CSS file must be less than %1M.","CSS-tiedoston on oltava pienempi kuin %1M."
thumbnail,pienoiskuva
"Browse Files","Selaa tiedostoja"
"Help Us Keep Magento Healthy","Auta meitä pitämään Magento terveenä"
"%1 Item(s)","%1 tuote(tta)"
"1 column","1 sarake"
"Default welcome msg!",Oletustervetuliaisviesti!
"Theme Information","Teeman tiedot"
"Welcome Text",Tervetuliaisteksti
"Default Robots",Oletusrobotit
Menu,Valikko
Account,Tili
"2 columns with left bar","2 saraketta ja vasen palkki"
"2 columns with right bar","2 saraketta ja oikea palkki"
"3 columns","3 saraketta"
"TinyMCE 3 (deprecated)","TinyMCE 3 (vanhentunut)"
"Dictionary (Translation on Storefront side)","Sanakirja (käännös kaupan Etusivun puolella)"
"Embedded (Translation on Admin side)","Upotettu (käännös Admin-puolella)"
"Error while translating phrase ""%s"" in file %s.","Virhe käännettäessä lausetta ”%s” tiedostossa %s."
"Error while generating js translation dictionary: ""%s""","Virhe luotaessa js käännettäessä sanakirjaa: ”%s”"
"Translation Strategy",Käännösstrategia
Translations,Käännökset
"Translation files",Käännöstiedostot
"Condition type ""%1"" is not allowed","Ehdon tyyppi ""%1"" ei ole sallittu"
"Remove %1","Poista %1"
"Add New %1","Lisää uusi %1"
"New %1","Uusi %1"
"Unsupported bookmark action.","Tätä kirjanmerkkitoimintoa ei tueta."
"Select from Gallery","Valitse galleriasta"
"Maximum file size","Tiedoston enimmäiskoko"
"Allowed file types","Sallitut tiedostotyypit"
"Delete bookmark","Poista kirjanmerkki"
"Edit bookmark","Muokkaa kirjanmerkkiä"
Columns,Sarakkeet
"Active filters\\:","Aktiiviset suodattimet\\:"
"Clear all","Tyhjennä kaikki"
Filters,Suodattimet
Selected,Valittu
On,Käytössä
"Default View",Oletusnäkymä
"${ $.visible } out of ${ $.total } visible","${ $.visible } / ${ $.total } näkyvillä"
"Search by keyword","Etsi avainsanojen mukaan"
Keyword,Avainsana
"Please enter more or equal than {0} symbols.","Anna {0} merkkiä tai enemmän."
"Please enter less or equal than {0} symbols.","Anna {0} merkkiä tai vähemmän."
"Please enter {0} words or less.","Kirjoita {0} sanaa tai vähemmän."
"Please enter at least {0} words.","Kirjoita vähintään {0} sanaa."
"Please enter between {0} and {1} words.","Kirjoita {0}:sta {1}:een sanaa."
"Letters or punctuation only please","Ainoastaan kirjaimia tai välimerkkejä"
"Letters, numbers, spaces or underscores only please","Vain kirjaimia, numeroita, välilyöntejä tai alaviivoja"
"Letters only please","Vain kirjaimia"
"No white space please","Ei välilyöntejä"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Postinumerosi on oltava väillä 902xx-xxxx ja 905-xx-xxxx"
"A positive or negative non-decimal number please","Positiivinen tai negatiivinen kokonaisluku"
"The specified vehicle identification number (VIN) is invalid.","Määritetty Ajoneuvon valmistenumero (VIN) ei kelpaa."
"Please enter a correct date","Anna oikea päivämäärä"
"Please enter a valid time, between 00:00 and 23:59","Anna kelvollinen aika klo 00:00-23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Anna kelvollinen aika välillä 00:00 am ja 12:00 pm"
"Please specify a valid phone number","Määritä kelvollinen puhelinnumero"
"Please specify a valid mobile number","Määritä oikea matkapuhelinnumero"
"Please enter at least {0} characters","Kirjoita vähintään {0} merkkiä"
"Please enter a valid IP v4 address.","Kirjoita kelvollinen IP-v4-osoite."
"Please enter a valid IP v6 address.","Kirjoita kelvollinen IPv6-osoite."
"Invalid format.","Virheellinen muoto."
"HTML tags are not allowed.","HTML-tunnisteet eivät ole sallittuja."
"Empty Value.","Tyhjä arvo."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Käytä vain kirjaimia (a – ö tai A-Z), numeroita (0-9) tai välilyöntejä tässä kentässä."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Ole hyvä ja käytä vain kirjaimia (a – ö tai A-Z), numeroita (0-9) tai alaviivaa (_), ensimmäisen merkin on oltava kirjain."
